InputSentence,Method,Probabilities,ChosenSource
"['benefic', 'fie', 'cur']",LDA+Cosine,"{'classCadunico.csv': [1e-06, 0.004580913782119751, 0.04199999749660492, 0.0645049428806296], 'classCensoEscolar.csv': [1e-06, 0.024, 0.0379999977350235, 0.0], 'classDataSUS.csv': [0.01780364191532135, 0.036000000000000004, 0.036000000000000004, 0.0], 'classIbama.csv': [1e-06, 0.026000000000000002, 0.04, 0.0], 'classProuni.csv': [0.035000004172325135, 0.038, 0.006067940711975097, 0.0], 'classFies.csv': [1e-06, 0.081, 0.027999999999999997, 0.1574591643244434], 'classIBGE.csv': [1e-06, 0.022000000000000002, 0.006905893206596374, 0.0], 'classEducacaoSuperior.csv': [1e-06, 0.032, 0.07399999558925628, 0.012281268769726867]}",classFies.csv
"['estud', 'particip', 'proun', 'univ']",Cosine,"{'classCadunico.csv': 0.0, 'classCensoEscolar.csv': 0.04199193832168908, 'classDataSUS.csv': 0.0, 'classIbama.csv': 0.0, 'classProuni.csv': 0.21140656903267596, 'classFies.csv': 0.25, 'classIBGE.csv': 0.0, 'classEducacaoSuperior.csv': 0.02127178149057585}",classFies.csv
"['estud', 'particip', 'proun', 'univ']",LDA4,"{'classCadunico.csv': [0.013576000392436982, 1e-06, 1e-06, 0.02228206765651703], 'classCensoEscolar.csv': [0.015633305072784424, 0.015469491243362428, 1e-06, 0.013914852857589722], 'classDataSUS.csv': [1e-06, 1e-06, 1e-06, 0.0050564312934875495], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 1e-06], 'classProuni.csv': [0.022000000000000002, 0.0056569681167602534, 0.043, 0.005546947240829468], 'classFies.csv': [0.111, 0.00567320466041565, 1e-06, 0.006225261569023132], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 0.018558345437049862], 'classEducacaoSuperior.csv': [0.011182362794876098, 0.0027624091506004336, 1e-06, 0.012999999225139615]}",classFies.csv
"['estud', 'particip', 'proun', 'univ']",LDA+Cosine,"{'classCadunico.csv': [0.013576000392436982, 1e-06, 1e-06, 0.02228206765651703, 0.0], 'classCensoEscolar.csv': [0.015633305072784424, 0.015469491243362428, 1e-06, 0.013914852857589722, 0.04199193832168908], 'classDataSUS.csv': [1e-06, 1e-06, 1e-06, 0.0050564312934875495, 0.0], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.0], 'classProuni.csv': [0.022000000000000002, 0.0056569681167602534, 0.043, 0.005546947240829468, 0.21140656903267596], 'classFies.csv': [0.111, 0.00567320466041565, 1e-06, 0.006225261569023132, 0.25], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 0.018558345437049862, 0.0], 'classEducacaoSuperior.csv': [0.011182362794876098, 0.0027624091506004336, 1e-06, 0.012999999225139615, 0.02127178149057585]}",classFies.csv
"['estud', 'bol', 'integr', 'proun']",Cosine,"{'classCadunico.csv': 0.0, 'classCensoEscolar.csv': 0.05598925109558543, 'classDataSUS.csv': 0.0, 'classIbama.csv': 0.0, 'classProuni.csv': 0.31710985354901394, 'classFies.csv': 0.22727272727272727, 'classIBGE.csv': 0.0, 'classEducacaoSuperior.csv': 0.03190767223586378}",classProuni.csv
"['estud', 'bol', 'integr', 'proun']",LDA4,"{'classCadunico.csv': [0.013576000392436982, 1e-06, 1e-06, 1e-06], 'classCensoEscolar.csv': [0.015633305072784424, 1e-06, 0.010083338141441344, 1e-06], 'classDataSUS.csv': [1e-06, 1e-06, 1e-06, 1e-06], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 1e-06], 'classProuni.csv': [0.022000000000000002, 0.09699999999999999, 0.01958687746524811, 0.043], 'classFies.csv': [0.111, 1e-06, 1e-06, 1e-06], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 1e-06], 'classEducacaoSuperior.csv': [0.011182362794876098, 1e-06, 1e-06, 1e-06]}",classProuni.csv
"['estud', 'bol', 'integr', 'proun']",LDA+Cosine,"{'classCadunico.csv': [0.013576000392436982, 1e-06, 1e-06, 1e-06, 0.0], 'classCensoEscolar.csv': [0.015633305072784424, 1e-06, 0.010083338141441344, 1e-06, 0.05598925109558543], 'classDataSUS.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.0], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.0], 'classProuni.csv': [0.022000000000000002, 0.09699999999999999, 0.01958687746524811, 0.043, 0.31710985354901394], 'classFies.csv': [0.111, 1e-06, 1e-06, 1e-06, 0.22727272727272727], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.0], 'classEducacaoSuperior.csv': [0.011182362794876098, 1e-06, 1e-06, 1e-06, 0.03190767223586378]}",classProuni.csv
"['alun', 'cotist', 'desist', 'cur']",Cosine,"{'classCadunico.csv': 0.0558629192042894, 'classCensoEscolar.csv': 0.1259758149650672, 'classDataSUS.csv': 0.0, 'classIbama.csv': 0.0, 'classProuni.csv': 0.026425821129084495, 'classFies.csv': 0.022727272727272728, 'classIBGE.csv': 0.0, 'classEducacaoSuperior.csv': 0.15953836117931888}",classEducacaoSuperior.csv
"['alun', 'cotist', 'desist', 'cur']",LDA4,"{'classCadunico.csv': [0.013480387955904009, 1e-06, 1e-06, 0.04199999749660492], 'classCensoEscolar.csv': [0.032, 1e-06, 1e-06, 0.0379999977350235], 'classDataSUS.csv': [1e-06, 1e-06, 1e-06, 0.036000000000000004], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 0.04], 'classProuni.csv': [0.005698698997497558, 1e-06, 1e-06, 0.006067940711975097], 'classFies.csv': [0.032, 1e-06, 1e-06, 0.027999999999999997], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 0.006905893206596374], 'classEducacaoSuperior.csv': [0.043, 1e-06, 1e-06, 0.07399999558925628]}",classEducacaoSuperior.csv
"['alun', 'cotist', 'desist', 'cur']",LDA+Cosine,"{'classCadunico.csv': [0.013480387955904009, 1e-06, 1e-06, 0.04199999749660492, 0.0558629192042894], 'classCensoEscolar.csv': [0.032, 1e-06, 1e-06, 0.0379999977350235, 0.1259758149650672], 'classDataSUS.csv': [1e-06, 1e-06, 1e-06, 0.036000000000000004, 0.0], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 0.04, 0.0], 'classProuni.csv': [0.005698698997497558, 1e-06, 1e-06, 0.006067940711975097, 0.026425821129084495], 'classFies.csv': [0.032, 1e-06, 1e-06, 0.027999999999999997, 0.022727272727272728], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 0.006905893206596374, 0.0], 'classEducacaoSuperior.csv': [0.043, 1e-06, 1e-06, 0.07399999558925628, 0.15953836117931888]}",classEducacaoSuperior.csv
