basic word,probability,word form Word2Vec
família,0.004768177568912506,parente
família,0.0047412684559822085,mulher
família,0.004739040732383728,linhagem
família,0.004737769663333893,vizinha
família,0.004682724475860596,igreja
família,0.004679086208343506,netos
família,0.004631789028644562,pai
família,0.004607591032981873,namorada
família,0.004601925611495972,fazenda
família,0.004541907906532288,neta
família,0.0045329490303993225,tribo
família,0.004523858428001404,companheira
único,0.01,único
único,0.0064621841907501225,verdadeiro
único,0.006133421659469605,autêntico
único,0.005965514779090881,primeiro
único,0.00583389163017273,exclusivo
único,0.005819050073623658,nenhum
único,0.005698904395103455,outro
único,0.005662904977798462,poderoso
único,0.005651581287384033,próprio
único,0.005606200695037842,distinto
único,0.005603150725364685,último
único,0.005584049224853516,magnífico
único,0.005526408553123474,aquele
único,0.005498552322387696,esse
único,0.005446487069129944,legítimo
único,0.0054245078563690185,pequeno
único,0.005423804521560669,específico
único,0.005403678417205811,este
único,0.005396109223365784,principal
único,0.005336458683013916,Único
único,0.005284473896026611,maravilhoso
único,0.005281556844711304,perfeito
único,0.005273764729499817,desse
único,0.0052641892433166505,terceiro
único,0.005237079858779907,elemento
único,0.005225504636764526,daquele
único,0.005211430788040161,fantástico
único,0.0052021205425262455,única
único,0.00516733467578888,mesmo
único,0.005156359672546387,extraordinário
único,0.00510737419128418,idêntico
único,0.005093880891799927,considerado
único,0.005060246586799622,determinado
único,0.0050008630752563475,digno
único,0.004998714029788971,gigantesco
único,0.0049863401055336,cujo
único,0.004947031736373901,eterno
único,0.004936765730381012,num
único,0.004930853843688965,novo
único,0.004928133487701416,seu
único,0.004924565851688385,duplo
único,0.004907528460025788,respectivo
único,0.004903994798660279,naquele
único,0.004900249242782593,tipo
único,0.004889505207538605,lugar
único,0.004857807159423828,excepcional
único,0.004855943024158478,sobrevivente
único,0.004854021668434143,jeito
único,0.004848440289497376,objetivo
único,0.0048465335369110105,valioso
cadastro,0.01,cadastro
cadastro,0.006993417739868164,Cadastro
cadastro,0.006981571912765503,cadastrar
cadastro,0.006505091190338135,cadastrado
cadastro,0.005634467005729675,cadastrados
cadastro,0.005548393726348877,preenchimento
cadastro,0.005290367603302002,login
cadastro,0.00529025673866272,formulário
cadastro,0.0052722543478012085,registro
cadastro,0.004763379096984864,inventário
cadastro,0.0047398430109024045,site
cadastro,0.004717794060707092,efetuar
cadastro,0.004696617722511291,CPF
cadastro,0.004608072936534881,mapeamento
cadastro,0.004554906189441681,acompanhamento
cadastro,0.004515848457813263,sistema
cadastro,0.004506623446941376,levantamento
